,station_name,station_lat,station_lng,Sat_inflow,Sat_outflow,Sun_inflow,Sun_outflow,Mon_inflow,Mon_outflow,Tues_inflow,Tues_outflow,Wed_inflow,Wed_outflow,Thur_inflow,Thur_outflow,Fri_inflow,Fri_outflow
127,E 91 St & Park Ave,40.7835016,-73.955327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,MacDougal St & Washington Sq,40.73226398,-73.99852205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,E 11 St & Broadway,40.73261787,-73.99158043,0.6494791666666667,0.6576388888888889,0.8258680555555555,0.7956597222222221,0.8260416666666668,0.8427083333333334,0.9357638888888888,0.9071180555555557,0.9184027777777777,0.9227430555555557,0.8284722222222222,0.8126736111111111,0.6588541666666666,0.693923611111111
133,E 47 St & 1 Ave,40.75206862,-73.96784384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Broadway & W 60 St,40.76915505,-73.98191841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Carmine St & 6 Ave,40.73038599,-74.00214988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,S 4 St & Wythe Ave,40.71285887,-73.96590294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,12 Ave & W 40 St,40.76087502,-74.00277668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,E 2 St & Avenue B,40.72217444,-73.98368779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,11 Ave & W 41 St,40.76030096,-73.99884222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Fulton St & Adams St,40.69241829257847,-73.98949474096298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Washington Ave & Park Ave,40.69610226,-73.96751037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Berry St & N 8 St,40.7190095,-73.95852515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
